TICKER	CCAT
ELA Comdty	10103040
EMA Comdty	502020
ENA Curncy	501010
ENBA Comdty	10105010
EOA Comdty	101020
EOA Index	503080
EPA Comdty	201010
EPA Index	503080
ERA Comdty	502020
ESA Index	503080
ETA Comdty	10103030
ETSA Comdty	10105010
EUA Comdty	10105010
EVA Comdty	10105010
EVA Curncy	502030
EWA Comdty	10105010
EWA Curncy	501010
EXA Curncy	501010
EZA Comdty	10105010
EZA Curncy	501010
FAA Index	503080
FAAA Comdty	10105010
FABA Comdty	10105010
FACA Comdty	10105010
FAEA Index	503080
FALA Comdty	103020
FAPA Index	403010
FASA Curncy	501010
FATA Index	503080
FAWA Index	503080
FAYA Comdty	401050
FBA Comdty	502010
FBAA Comdty	201040
FBBA Comdty	502010
FBSA Index	503080
FBYA Comdty	10105010
FCA Comdty	251010
FCAA Curncy	501010
FCBA Comdty	201010
FCBAW Comdty	10105010
FCCA Comdty	207010
FCCA Curncy	501010
FCDA Index	509080
FCEA Index	509080
FCIA Index	509080
FCLA Index	509080
FCOA Comdty	207020
FCPA Curncy	501010
FCRA Index	509080
FCSA Comdty	401020
FCTA Comdty	301010
FCTA Index	509080
FCYA Index	503080
FDBAW Comdty	10105080
FDBAY Comdty	10105010
FDIA Index	503020
FDOA Index	503080
FDPA Comdty	10105020
FDPAQ Comdty	10105020
FDPAY Comdty	10105020
FDSA Index	503080
FDTA Comdty	403010
FDWA Comdty	10101085
FEAA Comdty	10103040
FEDA Comdty	202530
FEEA Comdty	10101080
FEEA Curncy	501010
FEPA Comdty	204010
FESA Comdty	10103020
FESA Index	503080
FEWA Comdty	401020
FFA Comdty	502020
FFAA Comdty	101010
FFAA Index	503080
FFBA Index	503080
FFDA Index	503080
FFEA Index	503080
FFIA Index	503080
FFPA Index	503080
FFTA Comdty	502010
FFTA Index	101010
FGBA Comdty	10105010
FGBAQ Comdty	10105010
FGBAW Comdty	10105010
FGBAY Comdty	10105010
FGDA Comdty	102010
FGEA Index	503080
FGIA Index	503080
FGLA Comdty	305020
FGRA Comdty	10103080
FGRA Index	503080
FGSA Index	503080
FHAA Comdty	10101080
